internal_id,id,name,category,URI
190,la-icp-ms-routines-fmnh,LA_ICP_MS-Routines_FMNH,Scripts,https://open-archaeo.info/post/la-icp-ms-routines-fmnh
200,anatolia-bibliography-map,anatolia-bibliography-map,Standalone software,https://open-archaeo.info/post/anatolia-bibliography-map
215,signboardr,signboardr,Packages and libraries,https://open-archaeo.info/post/signboardr
217,missing,missing,Scripts,https://open-archaeo.info/post/missing
218,soiltexture,soiltexture,Packages and libraries,https://open-archaeo.info/post/soiltexture
219,sparch,sparch,Packages and libraries,https://open-archaeo.info/post/sparch
220,mtreering,MtreeRing,Packages and libraries,https://open-archaeo.info/post/mtreering
221,qrcode-storage,qrcode-storage,Scripts,https://open-archaeo.info/post/qrcode-storage
222,gmamisc,GmAMisc,Packages and libraries,https://open-archaeo.info/post/gmamisc
223,qgis-scripts,QGIS-scripts,Packages and libraries,https://open-archaeo.info/post/qgis-scripts
224,sériation-de-matrice-en-présence-absence,Sériation de matrice en présence/absence,Scripts,https://open-archaeo.info/post/sériation-de-matrice-en-présence-absence
225,calibrator,calibrator,Standalone software,https://open-archaeo.info/post/calibrator
228,rintchron,rintchron,Packages and libraries,https://open-archaeo.info/post/rintchron
229,archeofrag,archeofrag,Packages and libraries,https://open-archaeo.info/post/archeofrag
230,opencontext,opencontext,Packages and libraries,https://open-archaeo.info/post/opencontext
232,allen-archaeology,allen.archaeology,Packages and libraries,https://open-archaeo.info/post/allen-archaeology
233,demjanp,demjanp,Packages and libraries,https://open-archaeo.info/post/demjanp
235,arkhe,arkhe,Packages and libraries,https://open-archaeo.info/post/arkhe
236,era,era,Packages and libraries,https://open-archaeo.info/post/era
237,tfqar,tfqar,Packages and libraries,https://open-archaeo.info/post/tfqar
239,arches,arches,Standalone software,https://open-archaeo.info/post/arches
241,admur,ADMUR,Packages and libraries,https://open-archaeo.info/post/admur
243,odk-forms-archaeology,ODK-forms-archaeology,Packages and libraries,https://open-archaeo.info/post/odk-forms-archaeology
245,fix-exif-artist,Fix-exif-artist,Scripts,https://open-archaeo.info/post/fix-exif-artist
247,expotime,expotime,Scripts,https://open-archaeo.info/post/expotime
248,zoolog,zoolog,Packages and libraries,https://open-archaeo.info/post/zoolog
249,iconr,iconr,Packages and libraries,https://open-archaeo.info/post/iconr
250,heurist,heurist,Standalone software,https://open-archaeo.info/post/heurist
251,anthropmmd,anthropmmd,Packages and libraries,https://open-archaeo.info/post/anthropmmd
252,rdss,rdss,Packages and libraries,https://open-archaeo.info/post/rdss
253,3d-organ,3D-ORGAN,Scripts,https://open-archaeo.info/post/3d-organ
255,unstruwwel,unstruwwel,Packages and libraries,https://open-archaeo.info/post/unstruwwel
256,max,MAX,Standalone software,https://open-archaeo.info/post/max
257,humanos,HumanOS,Packages and libraries,https://open-archaeo.info/post/humanos
258,archaide,ArchAIDE,Standalone software,https://open-archaeo.info/post/archaide
260,c14,c14,Packages and libraries,https://open-archaeo.info/post/c14
261,piwigo-3dhop,piwigo-3dhop,Packages and libraries,https://open-archaeo.info/post/piwigo-3dhop
262,rpaleoclim,rpaleoclim,Packages and libraries,https://open-archaeo.info/post/rpaleoclim
264,baydem,baydem,Packages and libraries,https://open-archaeo.info/post/baydem
265,allen-relations,allen-relations,Packages and libraries,https://open-archaeo.info/post/allen-relations
266,oxcaar,oxcAAR,Packages and libraries,https://open-archaeo.info/post/oxcaar
267,ctransmission,cTransmission,Packages and libraries,https://open-archaeo.info/post/ctransmission
268,nimblecarbon,nimbleCarbon,Packages and libraries,https://open-archaeo.info/post/nimblecarbon
269,neiman1995,neiman1995,Scripts,https://open-archaeo.info/post/neiman1995
270,skyscaper,skyscapeR,Packages and libraries,https://open-archaeo.info/post/skyscaper
271,fastmarching,fastmaRching,Packages and libraries,https://open-archaeo.info/post/fastmarching
273,seriation-mhahsler,seriation,Packages and libraries,https://open-archaeo.info/post/seriation-mhahsler
274,bleiglas,bleiglas,Packages and libraries,https://open-archaeo.info/post/bleiglas
276,neolithicr,neolithicR,Scripts,https://open-archaeo.info/post/neolithicr
277,idaifieldr,idaifieldR,Packages and libraries,https://open-archaeo.info/post/idaifieldr
278,idai-field,iDAI.field,Standalone software,https://open-archaeo.info/post/idai-field
279,datplot,datplot,Packages and libraries,https://open-archaeo.info/post/datplot
280,aoristic,aoristic,Packages and libraries,https://open-archaeo.info/post/aoristic
281,outliner-benmarwick,outliner,Packages and libraries,https://open-archaeo.info/post/outliner-benmarwick
282,outliner-yesdavid,outlineR,Packages and libraries,https://open-archaeo.info/post/outliner-yesdavid
283,thanados,THANADOS,Standalone software,https://open-archaeo.info/post/thanados
288,caddonet,caddonet,Standalone software,https://open-archaeo.info/post/caddonet
289,seriation-clipo,Seriation,Packages and libraries,https://open-archaeo.info/post/seriation-clipo
290,openatlas,OpenAtlas,Standalone software,https://open-archaeo.info/post/openatlas
291,statuaar,statuAAR,Packages and libraries,https://open-archaeo.info/post/statuaar
292,postaar-python,postAAR-python,Packages and libraries,https://open-archaeo.info/post/postaar-python
